roadmap_id,skill_priority,competency_name,category,requirement_type,frequency,milestone_id,learning_order,milestone_title,learning_objective,completion_criteria,difficulty,resource_rank,resource_type,resource_title,provider,url,recommendation_reason,competency_relevance,milestone_relevance,difficulty_fit,accessible,current,language,duplicate,notes
1705,1,FastAPI,TECHNICAL_SKILL,PREFERRED,2,2616,1,FastAPI 소개 및 환경 설정,FastAPI의 기본 개념과 환경 설정 방법을 이해하고 설치할 수 있다.,"FastAPI 개발 환경을 로컬에서 구성하고, FastAPI 서버를 실행할 수 있다.",BEGINNER,1,BOOK,코딩 자율학습 FastAPI 파이썬 백엔드 개발 입문,길벗,https://search.daum.net/search?w=bookpage&bookId=7215703&q=%EC%BD%94%EB%94%A9+%EC%9E%90%EC%9C%A8%ED%95%99%EC%8A%B5+FastAPI+%ED%8C%8C%EC%9D%B4%EC%8D%AC+%EB%B0%B1%EC%97%94%EB%93%9C+%EA%B0%9C%EB%B0%9C+%EC%9E%85%EB%AC%B8,,,,,,,,,
1705,1,FastAPI,TECHNICAL_SKILL,PREFERRED,2,2616,1,FastAPI 소개 및 환경 설정,FastAPI의 기본 개념과 환경 설정 방법을 이해하고 설치할 수 있다.,"FastAPI 개발 환경을 로컬에서 구성하고, FastAPI 서버를 실행할 수 있다.",BEGINNER,2,BOOK,코딩 자율학습 FastAPI 파이썬 백엔드 개발 입문,길벗,https://search.daum.net/search?w=bookpage&bookId=7223059&q=%EC%BD%94%EB%94%A9+%EC%9E%90%EC%9C%A8%ED%95%99%EC%8A%B5+FastAPI+%ED%8C%8C%EC%9D%B4%EC%8D%AC+%EB%B0%B1%EC%97%94%EB%93%9C+%EA%B0%9C%EB%B0%9C+%EC%9E%85%EB%AC%B8,,,,,,,,,
1705,1,FastAPI,TECHNICAL_SKILL,PREFERRED,2,2616,1,FastAPI 소개 및 환경 설정,FastAPI의 기본 개념과 환경 설정 방법을 이해하고 설치할 수 있다.,"FastAPI 개발 환경을 로컬에서 구성하고, FastAPI 서버를 실행할 수 있다.",BEGINNER,3,WEB_RESOURCE,FastAPI Tutorial: Build REST API in 13 Steps [2026],Keenable Web Search,https://tech-insider.org/fastapi-tutorial-python-rest-api-13-steps-2026,,,,,,,,,
1705,2,AI 챗봇,TECHNICAL_SKILL,PREFERRED,1,2622,1,AI 챗봇 기초 이해,AI 챗봇의 기본 개념을 설명하고 각 구성 요소의 역할을 이해한다.,AI 챗봇 개념의 요약 문서를 작성한다.,BEGINNER,1,BOOK,교육 분야의 자동화 기술,언바운더(unbounder),https://search.daum.net/search?w=bookpage&bookId=6884875&q=%EA%B5%90%EC%9C%A1+%EB%B6%84%EC%95%BC%EC%9D%98+%EC%9E%90%EB%8F%99%ED%99%94+%EA%B8%B0%EC%88%A0,,,,,,,,,
1705,2,AI 챗봇,TECHNICAL_SKILL,PREFERRED,1,2622,1,AI 챗봇 기초 이해,AI 챗봇의 기본 개념을 설명하고 각 구성 요소의 역할을 이해한다.,AI 챗봇 개념의 요약 문서를 작성한다.,BEGINNER,2,WEB_RESOURCE,The Complete Guide to Artificial Intelligence: From Basics to Mastering the Tools of the Future,Keenable Web Search,https://scixa.com/article?lang=en&slug=the-complete-guide-to-artificial-intelligence-from-basics-to-mastering-the-tools-of-the-future-86f2b1,,,,,,,,,
1705,2,AI 챗봇,TECHNICAL_SKILL,PREFERRED,1,2622,1,AI 챗봇 기초 이해,AI 챗봇의 기본 개념을 설명하고 각 구성 요소의 역할을 이해한다.,AI 챗봇 개념의 요약 문서를 작성한다.,BEGINNER,3,WEB_RESOURCE,Modern AI Guide,Keenable Web Search,https://modernaiguide.dev/docs,,,,,,,,,
1705,3,Docker,TECHNICAL_SKILL,PREFERRED,1,2628,1,Docker 기본 개념 학습,Docker의 핵심 개념을 설명할 수 있다.,Docker의 기본 개념과 용어를 포트폴리오에 정리하여 제출.,BEGINNER,1,WEB_RESOURCE,Docker Tutorial: Production Stack in 13 Steps [2026],Keenable Web Search,https://tech-insider.org/docker-tutorial-production-stack-13-steps-2026,,,,,,,,,
1705,3,Docker,TECHNICAL_SKILL,PREFERRED,1,2628,1,Docker 기본 개념 학습,Docker의 핵심 개념을 설명할 수 있다.,Docker의 기본 개념과 용어를 포트폴리오에 정리하여 제출.,BEGINNER,2,WEB_RESOURCE,"Docker Tutorial: Ship an App in 12 Steps, 40 Min [2026]",Keenable Web Search,https://tech-insider.org/ie/docker-tutorial-2026,,,,,,,,,
1705,3,Docker,TECHNICAL_SKILL,PREFERRED,1,2628,1,Docker 기본 개념 학습,Docker의 핵심 개념을 설명할 수 있다.,Docker의 기본 개념과 용어를 포트폴리오에 정리하여 제출.,BEGINNER,3,WEB_RESOURCE,Docker Tutorial: Zero to Deploy in 7 Steps [2026],Keenable Web Search,https://tech-insider.org/en/docker-tutorial-beginners-containerization-2026,,,,,,,,,
1705,4,LangChain,TECHNICAL_SKILL,PREFERRED,1,2634,1,LangChain 소개 및 기본 개념 이해,LangChain의 기본 구조와 기능 이해,LangChain 설치 및 기본 기능 확인,BEGINNER,1,WEB_RESOURCE,LangChain-Core-Components-Guide,Keenable Web Search,https://dev.to/leo_han_02060526/langchain-core-components-guide-11jg,,,,,,,,,
