job_posting_id,title,company_id,job_role_id,start_ymd,end_ymd,headcount,career_type,hire_type_lst,region_lst,edu_level_lst,position_detail,main_duty,qualification,preference,disqualify_reason,process
2391,대규모 트래픽 처리 백엔드개발자 모집,71,214,20260624,20260718,15,경력 5년 이상,무기계약직,경상남도,박사 이상,"의료·연구 데이터를 다루는 전문기관에서 서버 애플리케이션과 API의 안정적인 개발·운영을 담당할 백엔드개발자를 모집합니다.

주요 대상은 대규모 트래픽 처리이며, 요구사항을 기능과 기술 과제로 구체화하고 구현 결과가 실제 운영 환경에서 안정적으로 작동하도록 관리합니다.

업무 과정에서는 QA 조직과 품질 기준을 합의하고, 결정 배경과 변경 이력을 문서로 남겨 구성원이 같은 맥락에서 일할 수 있도록 합니다.

문제가 발생하면 로그·데이터·재현 절차를 바탕으로 원인을 좁히고, 임시 조치와 근본 개선을 구분해 실행합니다.

특정 도구 사용 자체보다 문제에 맞는 기술을 선택하고 검증하는 과정을 중요하게 봅니다.

입사 후에는 기존 구조와 운영 기준을 익힌 뒤 대규모 트래픽 처리 영역의 개선 과제를 맡게 되며, 성과는 안정성·품질·사용자 영향과 협업 기여도를 함께 살펴봅니다.","• 대규모 트래픽 처리 환경의 배치 개발 및 결과 공유
• 대규모 트래픽 처리 환경의 인증·인가
• 대규모 트래픽 처리 환경의 장애 대응 및 결과 공유
• 대규모 트래픽 처리 환경의 코드 리뷰
• 대규모 트래픽 처리 환경의 테스트 자동화 및 결과 공유
• 대규모 트래픽 처리 환경의 배포 개선","• Kotlin 활용할 수 있는 분
• 기술 관련 전공자 또는 이에 준하는 프로젝트 경험을 보유한 분
• 대규모 트래픽 처리 또는 유사 환경에서 문서와 리뷰를 통해 협업 효율을 높인 경험
• 장애나 실패 사례를 학습 기회로 활용하는 분
• 업무 내용을 문서로 정리하고 동료와 공유할 수 있는 분","• SQLD 보유자
• 리눅스마스터 2급 보유자
• 대규모 트래픽 처리 환경에서 Java와 Java를 활용해 QA 조직과 품질 기준을 합의한 경험자
• 대규모 트래픽 처리 프로젝트 참여 경험자","• 채용 과정에서 부정한 방법을 사용한 경우
• 채용검진 결과 직무 수행이 어렵다고 판단되는 경우
• 해외여행 및 근무에 결격사유가 있는 경우
• 관련 법령 또는 내부 인사규정상 채용이 불가능한 경우",서류전형 > 필기전형 > 면접전형 > 최종합격
2392,MSA 전환 백엔드개발자 모집,111,214,20260731,20260825,12,경력,계약직,세종특별자치시,학사 이상,"산업 현장의 업무 혁신을 추진하는 중견기업 IT 조직에서 서버 애플리케이션과 API의 안정적인 개발·운영을 담당할 백엔드개발자를 모집합니다.

주요 대상은 MSA 전환이며, 요구사항을 기능과 기술 과제로 구체화하고 구현 결과가 실제 운영 환경에서 안정적으로 작동하도록 관리합니다.

업무 과정에서는 보안 담당자와 위험 요소를 검토하고, 결정 배경과 변경 이력을 문서로 남겨 구성원이 같은 맥락에서 일할 수 있도록 합니다.

문제가 발생하면 로그·데이터·재현 절차를 바탕으로 원인을 좁히고, 임시 조치와 근본 개선을 구분해 실행합니다.

입사 후에는 기존 구조와 운영 기준을 익힌 뒤 MSA 전환 영역의 개선 과제를 맡게 되며, 성과는 안정성·품질·사용자 영향과 협업 기여도를 함께 살펴봅니다.","• MSA 전환 환경의 도메인 모델링 및 결과 공유
• MSA 전환 환경의 트랜잭션 처리
• MSA 전환 환경의 성능 튜닝 및 결과 공유
• MSA 전환 환경의 배치 개발
• MSA 전환 환경의 인증·인가 및 결과 공유
• MSA 전환 환경의 장애 대응
• MSA 전환 환경의 코드 리뷰 및 결과 공유","• Node.js, Python 활용할 수 있는 분
• MSA 전환 또는 유사 환경에서 기술 부채를 식별하고 단계적으로 개선한 경험
• 사용자 영향을 먼저 생각하는 분
• 업무 내용을 문서로 정리하고 동료와 공유할 수 있는 분
• 개인정보와 보안 기준을 준수할 수 있는 분
• Kafka 기반 문제 해결 경험이 있는 분","• 리눅스마스터 2급 보유자
• 정보처리기사 보유자
• AWS Certified Developer 보유자
• MSA 전환 환경에서 Spring Boot와 Java를 활용해 보안 담당자와 위험 요소를 검토한 경험자
• Redis 및 Kafka 실무 활용 경험자","• 채용검진 결과 직무 수행이 어렵다고 판단되는 경우
• 해외여행 및 근무에 결격사유가 있는 경우
• 관련 법령 또는 내부 인사규정상 채용이 불가능한 경우
• 지원서 또는 제출서류를 허위로 기재한 경우
• 학력·경력·자격 등 증빙 내용이 사실과 다른 경우",서류전형 > 직무과제 > 실무면접 > 처우협의
2393,레거시 개선 백엔드개발자 모집,155,214,20260906,20261002,9,경력 3년 이상,정규직,경상남도,학력무관,"데이터 기반 의사결정을 강화하는 연구소에서 서버 애플리케이션과 API의 안정적인 개발·운영을 담당할 백엔드개발자를 모집합니다.

주요 대상은 레거시 개선이며, 요구사항을 기능과 기술 과제로 구체화하고 구현 결과가 실제 운영 환경에서 안정적으로 작동하도록 관리합니다.

업무 과정에서는 데이터 조직과 지표 기준을 정렬하고, 결정 배경과 변경 이력을 문서로 남겨 구성원이 같은 맥락에서 일할 수 있도록 합니다.

문제가 발생하면 로그·데이터·재현 절차를 바탕으로 원인을 좁히고, 임시 조치와 근본 개선을 구분해 실행합니다.

입사 후에는 기존 구조와 운영 기준을 익힌 뒤 레거시 개선 영역의 개선 과제를 맡게 되며, 성과는 안정성·품질·사용자 영향과 협업 기여도를 함께 살펴봅니다.","• 레거시 개선 환경의 테스트 자동화 및 결과 공유
• 레거시 개선 환경의 배포 개선
• 레거시 개선 환경의 API 설계 및 결과 공유
• 레거시 개선 환경의 도메인 모델링
• 레거시 개선 환경의 트랜잭션 처리 및 결과 공유
• 레거시 개선 환경의 성능 튜닝
• 레거시 개선 환경의 배치 개발 및 결과 공유
• 레거시 개선 환경의 인증·인가","• Python, REST API, GraphQL 활용할 수 있는 분
• 레거시 개선 또는 유사 환경에서 상용 서비스 개발 또는 운영 경험
• 문제를 작은 단위로 나누어 해결하는 분
• 업무 내용을 문서로 정리하고 동료와 공유할 수 있는 분
• 개인정보와 보안 기준을 준수할 수 있는 분
• Docker 기반 문제 해결 경험이 있는 분
• Kubernetes 기반 문제 해결 경험이 있는 분","• 정보처리기사 보유자
• AWS Certified Developer 보유자
• 레거시 개선 환경에서 Kotlin와 Java를 활용해 데이터 조직과 지표 기준을 정렬한 경험자
• Kafka 및 Docker 실무 활용 경험자
• 레거시 개선 프로젝트 참여 경험자
• Kotlin 심화 활용 경험자","• 해외여행 및 근무에 결격사유가 있는 경우
• 관련 법령 또는 내부 인사규정상 채용이 불가능한 경우
• 지원서 또는 제출서류를 허위로 기재한 경우
• 학력·경력·자격 등 증빙 내용이 사실과 다른 경우
• 채용 과정에서 부정한 방법을 사용한 경우
• 채용검진 결과 직무 수행이 어렵다고 판단되는 경우",서류전형 > 실무면접 > 최종면접
2394,결제 시스템 백엔드개발자 모집,80,214,20261013,20261109,6,신입,기간제,세종특별자치시,석사 이상,"교육 플랫폼을 운영하는 에듀테크 조직에서 서버 애플리케이션과 API의 안정적인 개발·운영을 담당할 백엔드개발자를 모집합니다.

주요 대상은 결제 시스템이며, 요구사항을 기능과 기술 과제로 구체화하고 구현 결과가 실제 운영 환경에서 안정적으로 작동하도록 관리합니다.

업무 과정에서는 기획자와 요구사항을 구체화하고, 결정 배경과 변경 이력을 문서로 남겨 구성원이 같은 맥락에서 일할 수 있도록 합니다.

문제가 발생하면 로그·데이터·재현 절차를 바탕으로 원인을 좁히고, 임시 조치와 근본 개선을 구분해 실행합니다.

특정 도구 사용 자체보다 문제에 맞는 기술을 선택하고 검증하는 과정을 중요하게 봅니다.

입사 후에는 기존 구조와 운영 기준을 익힌 뒤 결제 시스템 영역의 개선 과제를 맡게 되며, 성과는 안정성·품질·사용자 영향과 협업 기여도를 함께 살펴봅니다.","• 결제 시스템 환경의 인증·인가 및 결과 공유
• 결제 시스템 환경의 장애 대응
• 결제 시스템 환경의 코드 리뷰 및 결과 공유
• 결제 시스템 환경의 테스트 자동화
• 결제 시스템 환경의 배포 개선 및 결과 공유
• 결제 시스템 환경의 API 설계
• 결제 시스템 환경의 도메인 모델링 및 결과 공유
• 결제 시스템 환경의 트랜잭션 처리
• 결제 시스템 환경의 성능 튜닝 및 결과 공유","• REST API, GraphQL, Redis, Kafka 활용할 수 있는 분
• 결제 시스템 또는 유사 환경에서 테스트 자동화 또는 품질 지표를 개선한 경험
• 결제 시스템 또는 유사 환경에서 문서와 리뷰를 통해 협업 효율을 높인 경험
• 품질과 납기의 균형을 현실적으로 판단하는 분
• 업무 내용을 문서로 정리하고 동료와 공유할 수 있는 분
• 개인정보와 보안 기준을 준수할 수 있는 분
• MySQL 기반 문제 해결 경험이 있는 분
• Java 기반 문제 해결 경험이 있는 분","• AWS Certified Developer 보유자
• SQLD 보유자
• 리눅스마스터 2급 보유자
• 결제 시스템 환경에서 Node.js와 Java를 활용해 기획자와 요구사항을 구체화한 경험자
• 결제 시스템 프로젝트 참여 경험자
• Node.js 심화 활용 경험자
• REST API 심화 활용 경험자","• 관련 법령 또는 내부 인사규정상 채용이 불가능한 경우
• 지원서 또는 제출서류를 허위로 기재한 경우
• 학력·경력·자격 등 증빙 내용이 사실과 다른 경우
• 채용 과정에서 부정한 방법을 사용한 경우",서류전형 > 1차면접 > 2차면접 > 채용검진
2395,커머스 플랫폼 백엔드개발자 모집,111,214,20260103,20260131,3,경력 2년 이상,무기계약직,경상남도,전문학사 이상,"빠르게 제품을 검증하는 성장 단계 스타트업에서 서버 애플리케이션과 API의 안정적인 개발·운영을 담당할 백엔드개발자를 모집합니다.

주요 대상은 커머스 플랫폼이며, 요구사항을 기능과 기술 과제로 구체화하고 구현 결과가 실제 운영 환경에서 안정적으로 작동하도록 관리합니다.

업무 과정에서는 QA 조직과 품질 기준을 합의하고, 결정 배경과 변경 이력을 문서로 남겨 구성원이 같은 맥락에서 일할 수 있도록 합니다.

문제가 발생하면 로그·데이터·재현 절차를 바탕으로 원인을 좁히고, 임시 조치와 근본 개선을 구분해 실행합니다.

입사 후에는 기존 구조와 운영 기준을 익힌 뒤 커머스 플랫폼 영역의 개선 과제를 맡게 되며, 성과는 안정성·품질·사용자 영향과 협업 기여도를 함께 살펴봅니다.","• 커머스 플랫폼 환경의 트랜잭션 처리 및 결과 공유
• 커머스 플랫폼 환경의 성능 튜닝
• 커머스 플랫폼 환경의 배치 개발 및 결과 공유
• 커머스 플랫폼 환경의 인증·인가
• 커머스 플랫폼 환경의 장애 대응 및 결과 공유
• 커머스 플랫폼 환경의 코드 리뷰
• 커머스 플랫폼 환경의 테스트 자동화 및 결과 공유
• 커머스 플랫폼 환경의 배포 개선
• 커머스 플랫폼 환경의 API 설계 및 결과 공유
• 커머스 플랫폼 환경의 도메인 모델링","• GraphQL, Redis, Kafka, Docker, Kubernetes 활용할 수 있는 분
• 커머스 플랫폼 또는 유사 환경에서 장애 원인을 추적하고 재발 방지를 적용한 경험
• 커머스 플랫폼 또는 유사 환경에서 기술 부채를 식별하고 단계적으로 개선한 경험
• 동료의 피드백을 열린 태도로 반영하는 분
• 업무 내용을 문서로 정리하고 동료와 공유할 수 있는 분","• SQLD 보유자
• 리눅스마스터 2급 보유자
• 커머스 플랫폼 환경에서 Python와 Java를 활용해 QA 조직과 품질 기준을 합의한 경험자
• Kubernetes 및 MySQL 실무 활용 경험자
• 커머스 플랫폼 프로젝트 참여 경험자
• Python 심화 활용 경험자
• GraphQL 심화 활용 경험자
• Kafka 심화 활용 경험자","• 지원서 또는 제출서류를 허위로 기재한 경우
• 학력·경력·자격 등 증빙 내용이 사실과 다른 경우
• 채용 과정에서 부정한 방법을 사용한 경우
• 채용검진 결과 직무 수행이 어렵다고 판단되는 경우
• 해외여행 및 근무에 결격사유가 있는 경우",서류전형 > 인성검사 > 실무면접 > 최종면접
2396,SaaS 백오피스 백엔드개발자 모집,42,214,20260209,20260310,20,경력 무관,계약직,세종특별자치시,박사 이상,"다양한 회원사를 지원하는 협회 전산 조직에서 서버 애플리케이션과 API의 안정적인 개발·운영을 담당할 백엔드개발자를 모집합니다.

주요 대상은 SaaS 백오피스이며, 요구사항을 기능과 기술 과제로 구체화하고 구현 결과가 실제 운영 환경에서 안정적으로 작동하도록 관리합니다.

업무 과정에서는 보안 담당자와 위험 요소를 검토하고, 결정 배경과 변경 이력을 문서로 남겨 구성원이 같은 맥락에서 일할 수 있도록 합니다.

문제가 발생하면 로그·데이터·재현 절차를 바탕으로 원인을 좁히고, 임시 조치와 근본 개선을 구분해 실행합니다.

입사 후에는 기존 구조와 운영 기준을 익힌 뒤 SaaS 백오피스 영역의 개선 과제를 맡게 되며, 성과는 안정성·품질·사용자 영향과 협업 기여도를 함께 살펴봅니다.","• SaaS 백오피스 환경의 배포 개선 및 결과 공유
• SaaS 백오피스 환경의 API 설계
• SaaS 백오피스 환경의 도메인 모델링 및 결과 공유
• SaaS 백오피스 환경의 트랜잭션 처리
• SaaS 백오피스 환경의 성능 튜닝 및 결과 공유
• SaaS 백오피스 환경의 배치 개발","• Redis, Kafka, Docker, Kubernetes, MySQL, Java 활용할 수 있는 분
• 기술 관련 전공자 또는 이에 준하는 프로젝트 경험을 보유한 분
• SaaS 백오피스 또는 유사 환경에서 성능·비용·안정성 중 하나를 수치로 개선한 경험
• SaaS 백오피스 또는 유사 환경에서 상용 서비스 개발 또는 운영 경험
• 근거를 바탕으로 의견을 명확히 설명하는 분
• 업무 내용을 문서로 정리하고 동료와 공유할 수 있는 분","• 리눅스마스터 2급 보유자
• 정보처리기사 보유자
• AWS Certified Developer 보유자
• SaaS 백오피스 환경에서 REST API와 Java를 활용해 보안 담당자와 위험 요소를 검토한 경험자","• 학력·경력·자격 등 증빙 내용이 사실과 다른 경우
• 채용 과정에서 부정한 방법을 사용한 경우
• 채용검진 결과 직무 수행이 어렵다고 판단되는 경우
• 해외여행 및 근무에 결격사유가 있는 경우
• 관련 법령 또는 내부 인사규정상 채용이 불가능한 경우
• 지원서 또는 제출서류를 허위로 기재한 경우",서류전형 > 필기전형 > 면접전형 > 최종합격
2397,대규모 트래픽 처리 백엔드개발자 채용,98,214,20260318,20260417,17,신입·경력,정규직,경상남도,학사 이상,"글로벌 사용자를 대상으로 제품을 제공하는 기술기업에서 서버 애플리케이션과 API의 안정적인 개발·운영을 담당할 백엔드개발자를 모집합니다.

주요 대상은 대규모 트래픽 처리이며, 요구사항을 기능과 기술 과제로 구체화하고 구현 결과가 실제 운영 환경에서 안정적으로 작동하도록 관리합니다.

업무 과정에서는 데이터 조직과 지표 기준을 정렬하고, 결정 배경과 변경 이력을 문서로 남겨 구성원이 같은 맥락에서 일할 수 있도록 합니다.

문제가 발생하면 로그·데이터·재현 절차를 바탕으로 원인을 좁히고, 임시 조치와 근본 개선을 구분해 실행합니다.

특정 도구 사용 자체보다 문제에 맞는 기술을 선택하고 검증하는 과정을 중요하게 봅니다.

입사 후에는 기존 구조와 운영 기준을 익힌 뒤 대규모 트래픽 처리 영역의 개선 과제를 맡게 되며, 성과는 안정성·품질·사용자 영향과 협업 기여도를 함께 살펴봅니다.","• 대규모 트래픽 처리 환경의 장애 대응 및 결과 공유
• 대규모 트래픽 처리 환경의 코드 리뷰
• 대규모 트래픽 처리 환경의 테스트 자동화 및 결과 공유
• 대규모 트래픽 처리 환경의 배포 개선
• 대규모 트래픽 처리 환경의 API 설계 및 결과 공유
• 대규모 트래픽 처리 환경의 도메인 모델링
• 대규모 트래픽 처리 환경의 트랜잭션 처리 및 결과 공유","• Kafka 활용할 수 있는 분
• 대규모 트래픽 처리 또는 유사 환경에서 사용자 피드백을 제품 개선으로 연결한 경험
• 대규모 트래픽 처리 또는 유사 환경에서 테스트 자동화 또는 품질 지표를 개선한 경험
• 대규모 트래픽 처리 또는 유사 환경에서 문서와 리뷰를 통해 협업 효율을 높인 경험
• 새로운 기술을 목적에 맞게 검증하는 분
• 업무 내용을 문서로 정리하고 동료와 공유할 수 있는 분
• 개인정보와 보안 기준을 준수할 수 있는 분","• 정보처리기사 보유자
• AWS Certified Developer 보유자
• 대규모 트래픽 처리 환경에서 GraphQL와 Java를 활용해 데이터 조직과 지표 기준을 정렬한 경험자
• 대규모 트래픽 처리 프로젝트 참여 경험자
• 오픈소스 기여 또는 기술 발표 경험자","• 채용 과정에서 부정한 방법을 사용한 경우
• 채용검진 결과 직무 수행이 어렵다고 판단되는 경우
• 해외여행 및 근무에 결격사유가 있는 경우
• 관련 법령 또는 내부 인사규정상 채용이 불가능한 경우",서류전형 > 직무과제 > 실무면접 > 처우협의
2398,MSA 전환 백엔드개발자 채용,96,214,20260424,20260525,14,경력 5년 이상,기간제,세종특별자치시,학력무관,"공공 서비스를 안정적으로 운영하는 기술 조직에서 서버 애플리케이션과 API의 안정적인 개발·운영을 담당할 백엔드개발자를 모집합니다.

주요 대상은 MSA 전환이며, 요구사항을 기능과 기술 과제로 구체화하고 구현 결과가 실제 운영 환경에서 안정적으로 작동하도록 관리합니다.

업무 과정에서는 기획자와 요구사항을 구체화하고, 결정 배경과 변경 이력을 문서로 남겨 구성원이 같은 맥락에서 일할 수 있도록 합니다.

문제가 발생하면 로그·데이터·재현 절차를 바탕으로 원인을 좁히고, 임시 조치와 근본 개선을 구분해 실행합니다.

입사 후에는 기존 구조와 운영 기준을 익힌 뒤 MSA 전환 영역의 개선 과제를 맡게 되며, 성과는 안정성·품질·사용자 영향과 협업 기여도를 함께 살펴봅니다.","• MSA 전환 환경의 성능 튜닝 및 결과 공유
• MSA 전환 환경의 배치 개발
• MSA 전환 환경의 인증·인가 및 결과 공유
• MSA 전환 환경의 장애 대응
• MSA 전환 환경의 코드 리뷰 및 결과 공유
• MSA 전환 환경의 테스트 자동화
• MSA 전환 환경의 배포 개선 및 결과 공유
• MSA 전환 환경의 API 설계","• Docker, Kubernetes 활용할 수 있는 분
• MSA 전환 또는 유사 환경에서 팀 프로젝트에서 기능을 끝까지 배포한 경험
• MSA 전환 또는 유사 환경에서 장애 원인을 추적하고 재발 방지를 적용한 경험
• MSA 전환 또는 유사 환경에서 기술 부채를 식별하고 단계적으로 개선한 경험
• 불확실한 상황에서 우선순위를 정할 수 있는 분
• 장애나 실패 사례를 학습 기회로 활용하는 분
• 업무 내용을 문서로 정리하고 동료와 공유할 수 있는 분
• 개인정보와 보안 기준을 준수할 수 있는 분","• AWS Certified Developer 보유자
• SQLD 보유자
• 리눅스마스터 2급 보유자
• MSA 전환 환경에서 Redis와 Java를 활용해 기획자와 요구사항을 구체화한 경험자
• Spring Boot 및 Kotlin 실무 활용 경험자
• MSA 전환 프로젝트 참여 경험자","• 채용검진 결과 직무 수행이 어렵다고 판단되는 경우
• 해외여행 및 근무에 결격사유가 있는 경우
• 관련 법령 또는 내부 인사규정상 채용이 불가능한 경우
• 지원서 또는 제출서류를 허위로 기재한 경우
• 학력·경력·자격 등 증빙 내용이 사실과 다른 경우",서류전형 > 실무면접 > 최종면접
2399,레거시 개선 백엔드개발자 채용,143,214,20260531,20260702,11,경력,무기계약직,경상남도,석사 이상,"대규모 고객 서비스를 운영하는 디지털 조직에서 서버 애플리케이션과 API의 안정적인 개발·운영을 담당할 백엔드개발자를 모집합니다.

주요 대상은 레거시 개선이며, 요구사항을 기능과 기술 과제로 구체화하고 구현 결과가 실제 운영 환경에서 안정적으로 작동하도록 관리합니다.

업무 과정에서는 QA 조직과 품질 기준을 합의하고, 결정 배경과 변경 이력을 문서로 남겨 구성원이 같은 맥락에서 일할 수 있도록 합니다.

문제가 발생하면 로그·데이터·재현 절차를 바탕으로 원인을 좁히고, 임시 조치와 근본 개선을 구분해 실행합니다.

입사 후에는 기존 구조와 운영 기준을 익힌 뒤 레거시 개선 영역의 개선 과제를 맡게 되며, 성과는 안정성·품질·사용자 영향과 협업 기여도를 함께 살펴봅니다.","• 레거시 개선 환경의 API 설계 및 결과 공유
• 레거시 개선 환경의 도메인 모델링
• 레거시 개선 환경의 트랜잭션 처리 및 결과 공유
• 레거시 개선 환경의 성능 튜닝
• 레거시 개선 환경의 배치 개발 및 결과 공유
• 레거시 개선 환경의 인증·인가
• 레거시 개선 환경의 장애 대응 및 결과 공유
• 레거시 개선 환경의 코드 리뷰
• 레거시 개선 환경의 테스트 자동화 및 결과 공유","• Kubernetes, MySQL, Java 활용할 수 있는 분
• 레거시 개선 또는 유사 환경에서 문서와 리뷰를 통해 협업 효율을 높인 경험
• 레거시 개선 또는 유사 환경에서 성능·비용·안정성 중 하나를 수치로 개선한 경험
• 레거시 개선 또는 유사 환경에서 상용 서비스 개발 또는 운영 경험
• 변경사항과 의사결정을 꼼꼼히 기록하는 분","• SQLD 보유자
• 리눅스마스터 2급 보유자
• 레거시 개선 환경에서 Kafka와 Java를 활용해 QA 조직과 품질 기준을 합의한 경험자
• Kotlin 및 Node.js 실무 활용 경험자
• 레거시 개선 프로젝트 참여 경험자
• Kafka 심화 활용 경험자
• Kubernetes 심화 활용 경험자","• 해외여행 및 근무에 결격사유가 있는 경우
• 관련 법령 또는 내부 인사규정상 채용이 불가능한 경우
• 지원서 또는 제출서류를 허위로 기재한 경우
• 학력·경력·자격 등 증빙 내용이 사실과 다른 경우
• 채용 과정에서 부정한 방법을 사용한 경우
• 채용검진 결과 직무 수행이 어렵다고 판단되는 경우",서류전형 > 1차면접 > 2차면접 > 채용검진
2400,결제 시스템 백엔드개발자 채용,89,214,20260707,20260809,8,경력 3년 이상,계약직,세종특별자치시,전문학사 이상,"기업용 솔루션을 개발하는 전문 소프트웨어 조직에서 서버 애플리케이션과 API의 안정적인 개발·운영을 담당할 백엔드개발자를 모집합니다.

주요 대상은 결제 시스템이며, 요구사항을 기능과 기술 과제로 구체화하고 구현 결과가 실제 운영 환경에서 안정적으로 작동하도록 관리합니다.

업무 과정에서는 보안 담당자와 위험 요소를 검토하고, 결정 배경과 변경 이력을 문서로 남겨 구성원이 같은 맥락에서 일할 수 있도록 합니다.

문제가 발생하면 로그·데이터·재현 절차를 바탕으로 원인을 좁히고, 임시 조치와 근본 개선을 구분해 실행합니다.

특정 도구 사용 자체보다 문제에 맞는 기술을 선택하고 검증하는 과정을 중요하게 봅니다.

입사 후에는 기존 구조와 운영 기준을 익힌 뒤 결제 시스템 영역의 개선 과제를 맡게 되며, 성과는 안정성·품질·사용자 영향과 협업 기여도를 함께 살펴봅니다.","• 결제 시스템 환경의 코드 리뷰 및 결과 공유
• 결제 시스템 환경의 테스트 자동화
• 결제 시스템 환경의 배포 개선 및 결과 공유
• 결제 시스템 환경의 API 설계
• 결제 시스템 환경의 도메인 모델링 및 결과 공유
• 결제 시스템 환경의 트랜잭션 처리
• 결제 시스템 환경의 성능 튜닝 및 결과 공유
• 결제 시스템 환경의 배치 개발
• 결제 시스템 환경의 인증·인가 및 결과 공유
• 결제 시스템 환경의 장애 대응","• MySQL, Java, Spring Boot, Kotlin 활용할 수 있는 분
• 결제 시스템 또는 유사 환경에서 기술 부채를 식별하고 단계적으로 개선한 경험
• 결제 시스템 또는 유사 환경에서 사용자 피드백을 제품 개선으로 연결한 경험
• 결제 시스템 또는 유사 환경에서 테스트 자동화 또는 품질 지표를 개선한 경험
• 결제 시스템 또는 유사 환경에서 문서와 리뷰를 통해 협업 효율을 높인 경험
• 보안과 개인정보 보호를 기본 원칙으로 지키는 분","• 리눅스마스터 2급 보유자
• 정보처리기사 보유자
• AWS Certified Developer 보유자
• 결제 시스템 환경에서 Docker와 Java를 활용해 보안 담당자와 위험 요소를 검토한 경험자
• Redis 심화 활용 경험자
• Docker 심화 활용 경험자
• MySQL 심화 활용 경험자
• Spring Boot 심화 활용 경험자","• 관련 법령 또는 내부 인사규정상 채용이 불가능한 경우
• 지원서 또는 제출서류를 허위로 기재한 경우
• 학력·경력·자격 등 증빙 내용이 사실과 다른 경우
• 채용 과정에서 부정한 방법을 사용한 경우",서류전형 > 인성검사 > 실무면접 > 최종면접
