roadmap_id,skill_priority,competency_name,category,requirement_type,frequency,milestone_id,learning_order,milestone_title,learning_objective,completion_criteria,difficulty,resource_rank,resource_type,resource_title,provider,url,recommendation_reason,competency_relevance,milestone_relevance,difficulty_fit,accessible,current,language,duplicate,notes
1706,1,LangChain,TECHNICAL_SKILL,PREFERRED,1,2634,1,LangChain 소개 및 기본 개념 이해,LangChain의 기본 구조와 기능 이해,LangChain 설치 및 기본 기능 확인,BEGINNER,1,WEB_RESOURCE,LangChain-Core-Components-Guide,Keenable Web Search,https://dev.to/leo_han_02060526/langchain-core-components-guide-11jg,,,,,,,,,
1706,1,LangChain,TECHNICAL_SKILL,PREFERRED,1,2634,1,LangChain 소개 및 기본 개념 이해,LangChain의 기본 구조와 기능 이해,LangChain 설치 및 기본 기능 확인,BEGINNER,2,WEB_RESOURCE,"Complete Field Guide From First Chain to LangGraph Production (LCEL, LangSmith, Agents)",Keenable Web Search,https://teacherandtask.com/blog/langchain-explained-complete-field-guide-scratch-to-mastery,,,,,,,,,
1706,1,LangChain,TECHNICAL_SKILL,PREFERRED,1,2634,1,LangChain 소개 및 기본 개념 이해,LangChain의 기본 구조와 기능 이해,LangChain 설치 및 기본 기능 확인,BEGINNER,3,WEB_RESOURCE,"GitHub - Sourabh-Kumar04/LangChain: This repo is my LangChain learning journey, exploring prompts, structured outputs, retrievers, tools, and agents. It demonstrates building LLM-powered apps with practical notebooks and real-world workflows.",Keenable Web Search,https://github.com/Sourabh-Kumar04/LangChain,,,,,,,,,
1706,2,멀티모달 앱,TECHNICAL_SKILL,PREFERRED,1,2671,1,기초 멀티모달 앱 개념 이해,멀티모달 앱의 기초 개념과 사용 이유를 명확히 설명할 수 있습니다.,멀티모달 앱의 개념에 대한 설명 작성 및 검증 완료,BEGINNER,1,WEB_RESOURCE,Octane Guide Project: Index and Study Path - START HERE - Scott Benson,Keenable Web Search,https://behance.net/gallery/189481425/Octane-Guide-Project-Index-and-Study-Path-START-HERE,,,,,,,,,
1706,2,멀티모달 앱,TECHNICAL_SKILL,PREFERRED,1,2671,1,기초 멀티모달 앱 개념 이해,멀티모달 앱의 기초 개념과 사용 이유를 명확히 설명할 수 있습니다.,멀티모달 앱의 개념에 대한 설명 작성 및 검증 완료,BEGINNER,2,WEB_RESOURCE,DaVinci Resolve 21 Tutorial: A Complete Learning Path,Keenable Web Search,https://davinciresolve21.com/tutorial,,,,,,,,,
1706,2,멀티모달 앱,TECHNICAL_SKILL,PREFERRED,1,2671,1,기초 멀티모달 앱 개념 이해,멀티모달 앱의 기초 개념과 사용 이유를 명확히 설명할 수 있습니다.,멀티모달 앱의 개념에 대한 설명 작성 및 검증 완료,BEGINNER,3,WEB_RESOURCE,Full Claude Code Tutorial for Non-Technical Beginners in 2026 (step-by-step),Keenable Web Search,https://youtube.com/watch?v=bqJzIWAEn40,,,,,,,,,
1706,3,문서 검색,TECHNICAL_SKILL,PREFERRED,1,2677,1,기본 사용 설명 학습,문서 검색 도구의 기능과 인터페이스 이해.,문서 검색 도구에서 최소 5개의 문서 검색 성공.,BEGINNER,1,WEB_RESOURCE,DaVinci Resolve 21 Tutorial: A Complete Learning Path,Keenable Web Search,https://davinciresolve21.com/tutorial,,,,,,,,,
1706,3,문서 검색,TECHNICAL_SKILL,PREFERRED,1,2677,1,기본 사용 설명 학습,문서 검색 도구의 기능과 인터페이스 이해.,문서 검색 도구에서 최소 5개의 문서 검색 성공.,BEGINNER,2,WEB_RESOURCE,Claude Code Tutorial: The Complete Guide from Beginner to Advanced - Kumar Gauraw,Keenable Web Search,https://gauraw.com/claude-code-tutorial,,,,,,,,,
1706,3,문서 검색,TECHNICAL_SKILL,PREFERRED,1,2677,1,기본 사용 설명 학습,문서 검색 도구의 기능과 인터페이스 이해.,문서 검색 도구에서 최소 5개의 문서 검색 성공.,BEGINNER,3,WEB_RESOURCE,Octane Guide Project: Index and Study Path - START HERE - Scott Benson,Keenable Web Search,https://behance.net/gallery/189481425/Octane-Guide-Project-Index-and-Study-Path-START-HERE,,,,,,,,,
1706,4,멀티모달 앱 프로젝트,EXPERIENCE,PREFERRED,1,2683,1,기본 앱 설계 이론 이해,멀티모달 앱의 기본 설계 개념 이해하기,멀티모달 앱 설계 패턴에 대한 에세이 제출하기,BEGINNER,1,WEB_RESOURCE,"Corsair Cove The Complete Guide: Combat, City Building, Progression, Tips & Tricks",Keenable Web Search,https://youtube.com/watch?v=tAC9zgCYIEw,,,,,,,,,
1706,4,멀티모달 앱 프로젝트,EXPERIENCE,PREFERRED,1,2683,1,기본 앱 설계 이론 이해,멀티모달 앱의 기본 설계 개념 이해하기,멀티모달 앱 설계 패턴에 대한 에세이 제출하기,BEGINNER,2,WEB_RESOURCE,Claude Code Tutorial: The Complete Guide from Beginner to Advanced - Kumar Gauraw,Keenable Web Search,https://gauraw.com/claude-code-tutorial,,,,,,,,,
1706,4,멀티모달 앱 프로젝트,EXPERIENCE,PREFERRED,1,2683,1,기본 앱 설계 이론 이해,멀티모달 앱의 기본 설계 개념 이해하기,멀티모달 앱 설계 패턴에 대한 에세이 제출하기,BEGINNER,3,WEB_RESOURCE,Octane Guide Project: Index and Study Path - START HERE - Scott Benson,Keenable Web Search,https://behance.net/gallery/189481425/Octane-Guide-Project-Index-and-Study-Path-START-HERE,,,,,,,,,
1706,5,문서 검색 프로젝트,EXPERIENCE,PREFERRED,1,2689,1,문서 검색 프로젝트 소개,문서 검색 프로젝트의 기본 개념을 이해하고 목표를 설정할 수 있다.,프로젝트 목표를 명확히 설명하고 초기 계획서를 작성한다.,BEGINNER,1,WEB_RESOURCE,DaVinci Resolve 21 Tutorial: A Complete Learning Path,Keenable Web Search,https://davinciresolve21.com/tutorial,,,,,,,,,
1706,5,문서 검색 프로젝트,EXPERIENCE,PREFERRED,1,2689,1,문서 검색 프로젝트 소개,문서 검색 프로젝트의 기본 개념을 이해하고 목표를 설정할 수 있다.,프로젝트 목표를 명확히 설명하고 초기 계획서를 작성한다.,BEGINNER,2,WEB_RESOURCE,Tutorial,Keenable Web Search,https://terraria.wiki.gg/wiki/Tutorial?:~:text=The%20Tutorial%20is%20a%20specialREMOVEDpresentation%20differ%20between%20game%20platforms.,,,,,,,,,
1706,5,문서 검색 프로젝트,EXPERIENCE,PREFERRED,1,2689,1,문서 검색 프로젝트 소개,문서 검색 프로젝트의 기본 개념을 이해하고 목표를 설정할 수 있다.,프로젝트 목표를 명확히 설명하고 초기 계획서를 작성한다.,BEGINNER,3,WEB_RESOURCE,Full Claude Code Tutorial for Non-Technical Beginners in 2026 (step-by-step),Keenable Web Search,https://youtube.com/watch?v=bqJzIWAEn40,,,,,,,,,
1706,6,사용자 피드백 기반 제품 개선,EXPERIENCE,PREFERRED,1,2695,1,사용자 피드백 이해,사용자 피드백의 기본 개념과 중요성을 설명할 수 있다.,3개의 사용자 피드백 샘플을 분석하고 주요 이슈를 식별하여 보고서를 작성한다.,BEGINNER,1,WEB_RESOURCE,"Corsair Cove The Complete Guide: Combat, City Building, Progression, Tips & Tricks",Keenable Web Search,https://youtube.com/watch?v=tAC9zgCYIEw,,,,,,,,,
1706,6,사용자 피드백 기반 제품 개선,EXPERIENCE,PREFERRED,1,2695,1,사용자 피드백 이해,사용자 피드백의 기본 개념과 중요성을 설명할 수 있다.,3개의 사용자 피드백 샘플을 분석하고 주요 이슈를 식별하여 보고서를 작성한다.,BEGINNER,2,WEB_RESOURCE,2026 Blender 5.0 Beginner Tutorial,Keenable Web Search,https://youtube.com/watch?v=K7__BjW4UWE,,,,,,,,,
1706,6,사용자 피드백 기반 제품 개선,EXPERIENCE,PREFERRED,1,2695,1,사용자 피드백 이해,사용자 피드백의 기본 개념과 중요성을 설명할 수 있다.,3개의 사용자 피드백 샘플을 분석하고 주요 이슈를 식별하여 보고서를 작성한다.,BEGINNER,3,WEB_RESOURCE,Octane Guide Project: Index and Study Path - START HERE - Scott Benson,Keenable Web Search,https://behance.net/gallery/189481425/Octane-Guide-Project-Index-and-Study-Path-START-HERE,,,,,,,,,
1706,7,상용 서비스 개발,EXPERIENCE,PREFERRED,1,2701,1,기본 개념 이해,상용 서비스 개발의 기본 개념과 용어를 이해합니다.,각 주요 용어에 대한 설명과 예시를 포함한 보고서 제출,BEGINNER,1,WEB_RESOURCE,Claude Code Tutorial: The Complete Guide from Beginner to Advanced - Kumar Gauraw,Keenable Web Search,https://gauraw.com/claude-code-tutorial,,,,,,,,,
1706,7,상용 서비스 개발,EXPERIENCE,PREFERRED,1,2701,1,기본 개념 이해,상용 서비스 개발의 기본 개념과 용어를 이해합니다.,각 주요 용어에 대한 설명과 예시를 포함한 보고서 제출,BEGINNER,2,WEB_RESOURCE,"GitHub - luongnv89/claude-howto: A visual, example-driven guide to Claude Code — from basic concepts to advanced agents, with copy-paste templates that bring immediate value.",Keenable Web Search,https://github.com/luongnv89/claude-howto/blob/main,,,,,,,,,
1706,7,상용 서비스 개발,EXPERIENCE,PREFERRED,1,2701,1,기본 개념 이해,상용 서비스 개발의 기본 개념과 용어를 이해합니다.,각 주요 용어에 대한 설명과 예시를 포함한 보고서 제출,BEGINNER,3,WEB_RESOURCE,DaVinci Resolve 21 Tutorial: A Complete Learning Path,Keenable Web Search,https://davinciresolve21.com/tutorial,,,,,,,,,
1706,8,상용 서비스 운영,EXPERIENCE,PREFERRED,1,2707,1,기본적인 서비스 운영 개념 이해,서비스 운영의 역할 및 중요성을 설명할 수 있다.,서비스 운영의 기본 개념을 정리한 문서 제출하기.,BEGINNER,1,WEB_RESOURCE,Claude Code Tutorial: The Complete Guide from Beginner to Advanced - Kumar Gauraw,Keenable Web Search,https://gauraw.com/claude-code-tutorial,,,,,,,,,
1706,8,상용 서비스 운영,EXPERIENCE,PREFERRED,1,2707,1,기본적인 서비스 운영 개념 이해,서비스 운영의 역할 및 중요성을 설명할 수 있다.,서비스 운영의 기본 개념을 정리한 문서 제출하기.,BEGINNER,2,WEB_RESOURCE,DaVinci Resolve 21 Tutorial: A Complete Learning Path,Keenable Web Search,https://davinciresolve21.com/tutorial,,,,,,,,,
1706,8,상용 서비스 운영,EXPERIENCE,PREFERRED,1,2707,1,기본적인 서비스 운영 개념 이해,서비스 운영의 역할 및 중요성을 설명할 수 있다.,서비스 운영의 기본 개념을 정리한 문서 제출하기.,BEGINNER,3,WEB_RESOURCE,Octane Guide Project: Index and Study Path - START HERE - Scott Benson,Keenable Web Search,https://behance.net/gallery/189481425/Octane-Guide-Project-Index-and-Study-Path-START-HERE,,,,,,,,,
1706,9,테스트 자동화,EXPERIENCE,PREFERRED,1,2713,1,테스트 자동화의 기초 이해,테스트 자동화에 대한 기본 이해를 구축합니다.,샘플 테스트 스크립트의 구성 요소와 용도에 대해 설명할 수 있습니다.,BEGINNER,1,WEB_RESOURCE,DaVinci Resolve 21 Tutorial: A Complete Learning Path,Keenable Web Search,https://davinciresolve21.com/tutorial,,,,,,,,,
1706,9,테스트 자동화,EXPERIENCE,PREFERRED,1,2713,1,테스트 자동화의 기초 이해,테스트 자동화에 대한 기본 이해를 구축합니다.,샘플 테스트 스크립트의 구성 요소와 용도에 대해 설명할 수 있습니다.,BEGINNER,2,WEB_RESOURCE,Claude Code Tutorial: The Complete Guide from Beginner to Advanced - Kumar Gauraw,Keenable Web Search,https://gauraw.com/claude-code-tutorial,,,,,,,,,
1706,9,테스트 자동화,EXPERIENCE,PREFERRED,1,2713,1,테스트 자동화의 기초 이해,테스트 자동화에 대한 기본 이해를 구축합니다.,샘플 테스트 스크립트의 구성 요소와 용도에 대해 설명할 수 있습니다.,BEGINNER,3,WEB_RESOURCE,Octane Guide Project: Index and Study Path - START HERE - Scott Benson,Keenable Web Search,https://behance.net/gallery/189481425/Octane-Guide-Project-Index-and-Study-Path-START-HERE,,,,,,,,,
1706,10,품질 지표 개선,EXPERIENCE,PREFERRED,1,2719,1,품질 지표의 기본 개념 이해,품질 지표와 그 중요성에 대한 기본적인 이해를 갖습니다.,품질 지표의 정의와 유형을 포함한 요약 문서를 작성합니다.,BEGINNER,1,WEB_RESOURCE,Claude Code Tutorial: The Complete Guide from Beginner to Advanced - Kumar Gauraw,Keenable Web Search,https://gauraw.com/claude-code-tutorial,,,,,,,,,
1706,10,품질 지표 개선,EXPERIENCE,PREFERRED,1,2719,1,품질 지표의 기본 개념 이해,품질 지표와 그 중요성에 대한 기본적인 이해를 갖습니다.,품질 지표의 정의와 유형을 포함한 요약 문서를 작성합니다.,BEGINNER,2,WEB_RESOURCE,"GitHub - luongnv89/claude-howto: A visual, example-driven guide to Claude Code — from basic concepts to advanced agents, with copy-paste templates that bring immediate value.",Keenable Web Search,https://bit.ly/4bMKqD1,,,,,,,,,
1706,10,품질 지표 개선,EXPERIENCE,PREFERRED,1,2719,1,품질 지표의 기본 개념 이해,품질 지표와 그 중요성에 대한 기본적인 이해를 갖습니다.,품질 지표의 정의와 유형을 포함한 요약 문서를 작성합니다.,BEGINNER,3,WEB_RESOURCE,"GitHub - luongnv89/claude-howto: A visual, example-driven guide to Claude Code — from basic concepts to advanced agents, with copy-paste templates that bring immediate value.",Keenable Web Search,https://github.com/luongnv89/claude-howto?aid=recn6C7lzJnPvxS8K,,,,,,,,,
