job_posting_id,title,company_id,job_role_id,start_ymd,end_ymd,headcount,career_type,hire_type,region,edu_level,position_detail,main_duty,qualification,preference,disqualify_reason,process
1221,전기·전자엔지니어 모집,29,123,20260410,20260505,4,신입,정규직,전북특별자치도,전문학사 이상,"본 포지션은 전기·전자엔지니어 업무를 담당하며, 현장의 요구사항을 정확히 파악해 안정적인 결과를 만드는 역할입니다.

엔지니어링·설계 분야의 실무 기준과 절차에 따라 계획 수립부터 실행, 결과 확인까지 전 과정에 참여합니다.

업무 과정에서 발생하는 이슈를 데이터와 기록에 근거해 분석하고, 유관 부서와 협의하여 개선합니다.

입사 후에는 표준 절차와 내부 시스템 교육을 이수하며, 숙련도에 따라 담당 범위가 확대됩니다.

정확성, 안전, 책임 있는 의사소통을 중시하며 실무 중심의 협업 역량을 기대합니다.","- 회로 및 전장 설계 검토
- EMC·전기안전 시험 대응
- 기술 문서와 변경 이력 관리
- 협력사 기술 대응 및 부품 검토
- 안전·품질 기준 준수 여부 확인
- 제품·시스템 요구사항 분석 및 기술 검토
- 설계 사양서와 도면 작성·개정
- 시제품 제작 및 성능 시험","- 협업 부서와 원활하게 소통할 수 있는 분
- 기본적인 문서 작성 및 데이터 분석 역량
- 해외여행 및 현장 근무에 결격사유가 없는 분
- 관련 공학계열 전공 또는 동등한 실무 역량
- 도면과 기술 문서를 이해할 수 있는 분
- 문제 원인을 논리적으로 분석할 수 있는 분","- 전기기사 보유자
- 전자기사 보유자
- 제품 개발 전 과정 참여 경험
- 영어 기술 문서 독해 가능자
- 품질시스템 또는 안전규격 대응 경험","- 지원서 또는 제출서류를 허위로 기재한 경우
- 채용검진 결과 직무 수행이 어렵다고 판단되는 경우
- 해외여행 및 근무에 결격사유가 있는 경우
- 관련 법령 또는 내부 인사규정상 채용이 불가능한 경우",서류전형 > 1차면접 > 2차면접 > 채용검진
1222,전기·전자엔지니어 채용,35,123,20260615,20260717,8,경력,정규직,전라남도,학사 이상,"본 포지션은 전기·전자엔지니어 업무를 담당하며, 현장의 요구사항을 정확히 파악해 안정적인 결과를 만드는 역할입니다.

엔지니어링·설계 분야의 실무 기준과 절차에 따라 계획 수립부터 실행, 결과 확인까지 전 과정에 참여합니다.

업무 과정에서 발생하는 이슈를 데이터와 기록에 근거해 분석하고, 유관 부서와 협의하여 개선합니다.

입사 후에는 표준 절차와 내부 시스템 교육을 이수하며, 숙련도에 따라 담당 범위가 확대됩니다.

정확성, 안전, 책임 있는 의사소통을 중시하며 실무 중심의 협업 역량을 기대합니다.","- 회로 및 전장 설계 검토
- EMC·전기안전 시험 대응
- 제품·시스템 요구사항 분석 및 기술 검토
- 설계 사양서와 도면 작성·개정
- 시제품 제작 및 성능 시험
- 시험 결과 분석과 개선안 도출
- 유관 부서와 일정·품질 협업
- 기술 문서와 변경 이력 관리","- 관련 공학계열 전공 또는 동등한 실무 역량
- 도면과 기술 문서를 이해할 수 있는 분
- 문제 원인을 논리적으로 분석할 수 있는 분
- 협업 부서와 원활하게 소통할 수 있는 분
- 기본적인 문서 작성 및 데이터 분석 역량
- 해외여행 및 현장 근무에 결격사유가 없는 분","- 전자기사 보유자
- 전기공사기사 보유자
- CAD·CAE 또는 계측 도구 활용 경험
- 제품 개발 전 과정 참여 경험
- 영어 기술 문서 독해 가능자","- 지원서 또는 제출서류를 허위로 기재한 경우
- 채용검진 결과 직무 수행이 어렵다고 판단되는 경우
- 해외여행 및 근무에 결격사유가 있는 경우
- 관련 법령 또는 내부 인사규정상 채용이 불가능한 경우",서류전형 > 필기전형 > 면접전형 > 최종합격
1223,전기·전자엔지니어 담당자 모집,123,123,20260820,20260928,12,신입·경력,계약직,경상북도,학사 이상,"본 포지션은 전기·전자엔지니어 업무를 담당하며, 현장의 요구사항을 정확히 파악해 안정적인 결과를 만드는 역할입니다.

엔지니어링·설계 분야의 실무 기준과 절차에 따라 계획 수립부터 실행, 결과 확인까지 전 과정에 참여합니다.

업무 과정에서 발생하는 이슈를 데이터와 기록에 근거해 분석하고, 유관 부서와 협의하여 개선합니다.

입사 후에는 표준 절차와 내부 시스템 교육을 이수하며, 숙련도에 따라 담당 범위가 확대됩니다.

정확성, 안전, 책임 있는 의사소통을 중시하며 실무 중심의 협업 역량을 기대합니다.","- 회로 및 전장 설계 검토
- EMC·전기안전 시험 대응
- 시험 결과 분석과 개선안 도출
- 유관 부서와 일정·품질 협업
- 기술 문서와 변경 이력 관리
- 협력사 기술 대응 및 부품 검토
- 안전·품질 기준 준수 여부 확인
- 제품·시스템 요구사항 분석 및 기술 검토","- 협업 부서와 원활하게 소통할 수 있는 분
- 기본적인 문서 작성 및 데이터 분석 역량
- 해외여행 및 현장 근무에 결격사유가 없는 분
- 관련 공학계열 전공 또는 동등한 실무 역량
- 도면과 기술 문서를 이해할 수 있는 분
- 문제 원인을 논리적으로 분석할 수 있는 분","- 전기공사기사 보유자
- 전기기사 보유자
- 품질시스템 또는 안전규격 대응 경험
- CAD·CAE 또는 계측 도구 활용 경험
- 제품 개발 전 과정 참여 경험","- 지원서 또는 제출서류를 허위로 기재한 경우
- 채용검진 결과 직무 수행이 어렵다고 판단되는 경우
- 해외여행 및 근무에 결격사유가 있는 경우
- 관련 법령 또는 내부 인사규정상 채용이 불가능한 경우",서류전형 > 실무면접 > 최종면접
1224,전기·전자엔지니어 인재 채용,34,123,20261001,20261011,16,경력 2년 이상,무기계약직,경상남도,전문학사 이상,"본 포지션은 전기·전자엔지니어 업무를 담당하며, 현장의 요구사항을 정확히 파악해 안정적인 결과를 만드는 역할입니다.

엔지니어링·설계 분야의 실무 기준과 절차에 따라 계획 수립부터 실행, 결과 확인까지 전 과정에 참여합니다.

업무 과정에서 발생하는 이슈를 데이터와 기록에 근거해 분석하고, 유관 부서와 협의하여 개선합니다.

입사 후에는 표준 절차와 내부 시스템 교육을 이수하며, 숙련도에 따라 담당 범위가 확대됩니다.

정확성, 안전, 책임 있는 의사소통을 중시하며 실무 중심의 협업 역량을 기대합니다.","- 회로 및 전장 설계 검토
- EMC·전기안전 시험 대응
- 협력사 기술 대응 및 부품 검토
- 안전·품질 기준 준수 여부 확인
- 제품·시스템 요구사항 분석 및 기술 검토
- 설계 사양서와 도면 작성·개정
- 시제품 제작 및 성능 시험
- 시험 결과 분석과 개선안 도출","- 관련 공학계열 전공 또는 동등한 실무 역량
- 도면과 기술 문서를 이해할 수 있는 분
- 문제 원인을 논리적으로 분석할 수 있는 분
- 협업 부서와 원활하게 소통할 수 있는 분
- 기본적인 문서 작성 및 데이터 분석 역량
- 해외여행 및 현장 근무에 결격사유가 없는 분","- 전기기사 보유자
- 전자기사 보유자
- 영어 기술 문서 독해 가능자
- 품질시스템 또는 안전규격 대응 경험
- CAD·CAE 또는 계측 도구 활용 경험","- 지원서 또는 제출서류를 허위로 기재한 경우
- 채용검진 결과 직무 수행이 어렵다고 판단되는 경우
- 해외여행 및 근무에 결격사유가 있는 경우
- 관련 법령 또는 내부 인사규정상 채용이 불가능한 경우",서류전형 > 인성검사 > 실무면접 > 최종면접
1225,전기·전자엔지니어 실무자 모집,16,123,20260206,20260223,20,경력 3년 이상,정규직,제주특별자치도,학사 이상,"본 포지션은 전기·전자엔지니어 업무를 담당하며, 현장의 요구사항을 정확히 파악해 안정적인 결과를 만드는 역할입니다.

엔지니어링·설계 분야의 실무 기준과 절차에 따라 계획 수립부터 실행, 결과 확인까지 전 과정에 참여합니다.

업무 과정에서 발생하는 이슈를 데이터와 기록에 근거해 분석하고, 유관 부서와 협의하여 개선합니다.

입사 후에는 표준 절차와 내부 시스템 교육을 이수하며, 숙련도에 따라 담당 범위가 확대됩니다.

정확성, 안전, 책임 있는 의사소통을 중시하며 실무 중심의 협업 역량을 기대합니다.","- 회로 및 전장 설계 검토
- EMC·전기안전 시험 대응
- 설계 사양서와 도면 작성·개정
- 시제품 제작 및 성능 시험
- 시험 결과 분석과 개선안 도출
- 유관 부서와 일정·품질 협업
- 기술 문서와 변경 이력 관리
- 협력사 기술 대응 및 부품 검토","- 협업 부서와 원활하게 소통할 수 있는 분
- 기본적인 문서 작성 및 데이터 분석 역량
- 해외여행 및 현장 근무에 결격사유가 없는 분
- 관련 공학계열 전공 또는 동등한 실무 역량
- 도면과 기술 문서를 이해할 수 있는 분
- 문제 원인을 논리적으로 분석할 수 있는 분","- 전자기사 보유자
- 전기공사기사 보유자
- 제품 개발 전 과정 참여 경험
- 영어 기술 문서 독해 가능자
- 품질시스템 또는 안전규격 대응 경험","- 지원서 또는 제출서류를 허위로 기재한 경우
- 채용검진 결과 직무 수행이 어렵다고 판단되는 경우
- 해외여행 및 근무에 결격사유가 있는 경우
- 관련 법령 또는 내부 인사규정상 채용이 불가능한 경우",서류전형 > 직무과제 > 실무면접 > 처우협의
1226,전기·전자엔지니어 전문인력 채용,60,123,20260411,20260505,4,경력 무관,정규직,서울특별시,학사 이상,"본 포지션은 전기·전자엔지니어 업무를 담당하며, 현장의 요구사항을 정확히 파악해 안정적인 결과를 만드는 역할입니다.

엔지니어링·설계 분야의 실무 기준과 절차에 따라 계획 수립부터 실행, 결과 확인까지 전 과정에 참여합니다.

업무 과정에서 발생하는 이슈를 데이터와 기록에 근거해 분석하고, 유관 부서와 협의하여 개선합니다.

입사 후에는 표준 절차와 내부 시스템 교육을 이수하며, 숙련도에 따라 담당 범위가 확대됩니다.

정확성, 안전, 책임 있는 의사소통을 중시하며 실무 중심의 협업 역량을 기대합니다.","- 회로 및 전장 설계 검토
- EMC·전기안전 시험 대응
- 유관 부서와 일정·품질 협업
- 기술 문서와 변경 이력 관리
- 협력사 기술 대응 및 부품 검토
- 안전·품질 기준 준수 여부 확인
- 제품·시스템 요구사항 분석 및 기술 검토
- 설계 사양서와 도면 작성·개정","- 관련 공학계열 전공 또는 동등한 실무 역량
- 도면과 기술 문서를 이해할 수 있는 분
- 문제 원인을 논리적으로 분석할 수 있는 분
- 협업 부서와 원활하게 소통할 수 있는 분
- 기본적인 문서 작성 및 데이터 분석 역량
- 해외여행 및 현장 근무에 결격사유가 없는 분","- 전기공사기사 보유자
- 전기기사 보유자
- CAD·CAE 또는 계측 도구 활용 경험
- 제품 개발 전 과정 참여 경험
- 영어 기술 문서 독해 가능자","- 지원서 또는 제출서류를 허위로 기재한 경우
- 채용검진 결과 직무 수행이 어렵다고 판단되는 경우
- 해외여행 및 근무에 결격사유가 있는 경우
- 관련 법령 또는 내부 인사규정상 채용이 불가능한 경우",서류전형 > 1차면접 > 2차면접 > 채용검진
1227,전기·전자엔지니어 운영인력 모집,98,123,20260616,20260717,8,경력 5년 이상,계약직,부산광역시,전문학사 이상,"본 포지션은 전기·전자엔지니어 업무를 담당하며, 현장의 요구사항을 정확히 파악해 안정적인 결과를 만드는 역할입니다.

엔지니어링·설계 분야의 실무 기준과 절차에 따라 계획 수립부터 실행, 결과 확인까지 전 과정에 참여합니다.

업무 과정에서 발생하는 이슈를 데이터와 기록에 근거해 분석하고, 유관 부서와 협의하여 개선합니다.

입사 후에는 표준 절차와 내부 시스템 교육을 이수하며, 숙련도에 따라 담당 범위가 확대됩니다.

정확성, 안전, 책임 있는 의사소통을 중시하며 실무 중심의 협업 역량을 기대합니다.","- 회로 및 전장 설계 검토
- EMC·전기안전 시험 대응
- 안전·품질 기준 준수 여부 확인
- 제품·시스템 요구사항 분석 및 기술 검토
- 설계 사양서와 도면 작성·개정
- 시제품 제작 및 성능 시험
- 시험 결과 분석과 개선안 도출
- 유관 부서와 일정·품질 협업","- 협업 부서와 원활하게 소통할 수 있는 분
- 기본적인 문서 작성 및 데이터 분석 역량
- 해외여행 및 현장 근무에 결격사유가 없는 분
- 관련 공학계열 전공 또는 동등한 실무 역량
- 도면과 기술 문서를 이해할 수 있는 분
- 문제 원인을 논리적으로 분석할 수 있는 분","- 전기기사 보유자
- 전자기사 보유자
- 품질시스템 또는 안전규격 대응 경험
- CAD·CAE 또는 계측 도구 활용 경험
- 제품 개발 전 과정 참여 경험","- 지원서 또는 제출서류를 허위로 기재한 경우
- 채용검진 결과 직무 수행이 어렵다고 판단되는 경우
- 해외여행 및 근무에 결격사유가 있는 경우
- 관련 법령 또는 내부 인사규정상 채용이 불가능한 경우",서류전형 > 필기전형 > 면접전형 > 최종합격
1228,전기·전자엔지니어 프로젝트 인력 채용,21,123,20260821,20260928,12,신입,무기계약직,인천광역시,학사 이상,"본 포지션은 전기·전자엔지니어 업무를 담당하며, 현장의 요구사항을 정확히 파악해 안정적인 결과를 만드는 역할입니다.

엔지니어링·설계 분야의 실무 기준과 절차에 따라 계획 수립부터 실행, 결과 확인까지 전 과정에 참여합니다.

업무 과정에서 발생하는 이슈를 데이터와 기록에 근거해 분석하고, 유관 부서와 협의하여 개선합니다.

입사 후에는 표준 절차와 내부 시스템 교육을 이수하며, 숙련도에 따라 담당 범위가 확대됩니다.

정확성, 안전, 책임 있는 의사소통을 중시하며 실무 중심의 협업 역량을 기대합니다.","- 회로 및 전장 설계 검토
- EMC·전기안전 시험 대응
- 시제품 제작 및 성능 시험
- 시험 결과 분석과 개선안 도출
- 유관 부서와 일정·품질 협업
- 기술 문서와 변경 이력 관리
- 협력사 기술 대응 및 부품 검토
- 안전·품질 기준 준수 여부 확인","- 관련 공학계열 전공 또는 동등한 실무 역량
- 도면과 기술 문서를 이해할 수 있는 분
- 문제 원인을 논리적으로 분석할 수 있는 분
- 협업 부서와 원활하게 소통할 수 있는 분
- 기본적인 문서 작성 및 데이터 분석 역량
- 해외여행 및 현장 근무에 결격사유가 없는 분","- 전자기사 보유자
- 전기공사기사 보유자
- 영어 기술 문서 독해 가능자
- 품질시스템 또는 안전규격 대응 경험
- CAD·CAE 또는 계측 도구 활용 경험","- 지원서 또는 제출서류를 허위로 기재한 경우
- 채용검진 결과 직무 수행이 어렵다고 판단되는 경우
- 해외여행 및 근무에 결격사유가 있는 경우
- 관련 법령 또는 내부 인사규정상 채용이 불가능한 경우",서류전형 > 실무면접 > 최종면접
1229,전기·전자엔지니어 직무 채용,78,123,20261002,20261116,16,경력,정규직,대전광역시,학사 이상,"본 포지션은 전기·전자엔지니어 업무를 담당하며, 현장의 요구사항을 정확히 파악해 안정적인 결과를 만드는 역할입니다.

엔지니어링·설계 분야의 실무 기준과 절차에 따라 계획 수립부터 실행, 결과 확인까지 전 과정에 참여합니다.

업무 과정에서 발생하는 이슈를 데이터와 기록에 근거해 분석하고, 유관 부서와 협의하여 개선합니다.

입사 후에는 표준 절차와 내부 시스템 교육을 이수하며, 숙련도에 따라 담당 범위가 확대됩니다.

정확성, 안전, 책임 있는 의사소통을 중시하며 실무 중심의 협업 역량을 기대합니다.","- 회로 및 전장 설계 검토
- EMC·전기안전 시험 대응
- 기술 문서와 변경 이력 관리
- 협력사 기술 대응 및 부품 검토
- 안전·품질 기준 준수 여부 확인
- 제품·시스템 요구사항 분석 및 기술 검토
- 설계 사양서와 도면 작성·개정
- 시제품 제작 및 성능 시험","- 협업 부서와 원활하게 소통할 수 있는 분
- 기본적인 문서 작성 및 데이터 분석 역량
- 해외여행 및 현장 근무에 결격사유가 없는 분
- 관련 공학계열 전공 또는 동등한 실무 역량
- 도면과 기술 문서를 이해할 수 있는 분
- 문제 원인을 논리적으로 분석할 수 있는 분","- 전기공사기사 보유자
- 전기기사 보유자
- 제품 개발 전 과정 참여 경험
- 영어 기술 문서 독해 가능자
- 품질시스템 또는 안전규격 대응 경험","- 지원서 또는 제출서류를 허위로 기재한 경우
- 채용검진 결과 직무 수행이 어렵다고 판단되는 경우
- 해외여행 및 근무에 결격사유가 있는 경우
- 관련 법령 또는 내부 인사규정상 채용이 불가능한 경우",서류전형 > 인성검사 > 실무면접 > 최종면접
1230,전기·전자엔지니어 부문 모집,36,123,20260207,20260223,20,신입·경력,정규직,광주광역시,전문학사 이상,"본 포지션은 전기·전자엔지니어 업무를 담당하며, 현장의 요구사항을 정확히 파악해 안정적인 결과를 만드는 역할입니다.

엔지니어링·설계 분야의 실무 기준과 절차에 따라 계획 수립부터 실행, 결과 확인까지 전 과정에 참여합니다.

업무 과정에서 발생하는 이슈를 데이터와 기록에 근거해 분석하고, 유관 부서와 협의하여 개선합니다.

입사 후에는 표준 절차와 내부 시스템 교육을 이수하며, 숙련도에 따라 담당 범위가 확대됩니다.

정확성, 안전, 책임 있는 의사소통을 중시하며 실무 중심의 협업 역량을 기대합니다.","- 회로 및 전장 설계 검토
- EMC·전기안전 시험 대응
- 제품·시스템 요구사항 분석 및 기술 검토
- 설계 사양서와 도면 작성·개정
- 시제품 제작 및 성능 시험
- 시험 결과 분석과 개선안 도출
- 유관 부서와 일정·품질 협업
- 기술 문서와 변경 이력 관리","- 관련 공학계열 전공 또는 동등한 실무 역량
- 도면과 기술 문서를 이해할 수 있는 분
- 문제 원인을 논리적으로 분석할 수 있는 분
- 협업 부서와 원활하게 소통할 수 있는 분
- 기본적인 문서 작성 및 데이터 분석 역량
- 해외여행 및 현장 근무에 결격사유가 없는 분","- 전기기사 보유자
- 전자기사 보유자
- CAD·CAE 또는 계측 도구 활용 경험
- 제품 개발 전 과정 참여 경험
- 영어 기술 문서 독해 가능자","- 지원서 또는 제출서류를 허위로 기재한 경우
- 채용검진 결과 직무 수행이 어렵다고 판단되는 경우
- 해외여행 및 근무에 결격사유가 있는 경우
- 관련 법령 또는 내부 인사규정상 채용이 불가능한 경우",서류전형 > 직무과제 > 실무면접 > 처우협의
