profile_id,target_job_role,variant,candidate_count,top_k,precision_at_10,ndcg_at_10,over_recommendation_rate_at_10,recall_at_10
P-01,백엔드 개발자,개선 전,30,10,0.4,0.4194,0.6,0.25
P-01,백엔드 개발자,개선 후,30,10,0.9,0.9074,0.0,0.5625
P-02,프론트엔드 개발자,개선 전,30,10,0.4,0.4194,0.6,0.25
P-02,프론트엔드 개발자,개선 후,30,10,0.9,0.9074,0.0,0.5625
P-03,데이터 분석가,개선 전,30,10,0.4,0.4194,0.6,0.25
P-03,데이터 분석가,개선 후,30,10,0.8,0.7974,0.1,0.5
P-04,머신러닝 엔지니어,개선 전,30,10,0.4,0.4194,0.6,0.25
P-04,머신러닝 엔지니어,개선 후,30,10,0.9,0.9074,0.0,0.5625
P-05,DevOps 엔지니어,개선 전,30,10,0.4,0.4194,0.6,0.25
P-05,DevOps 엔지니어,개선 후,30,10,0.9,0.9074,0.0,0.5625
P-06,정보보안 엔지니어,개선 전,30,10,0.4,0.4194,0.6,0.25
P-06,정보보안 엔지니어,개선 후,30,10,0.9,0.9074,0.0,0.5625
P-07,프로덕트 매니저,개선 전,30,10,0.4,0.4194,0.6,0.25
P-07,프로덕트 매니저,개선 후,30,10,0.9,0.9074,0.0,0.5625
P-08,UI/UX 디자이너,개선 전,30,10,0.4,0.4194,0.6,0.25
P-08,UI/UX 디자이너,개선 후,30,10,0.8,0.7974,0.1,0.5
P-09,QA 자동화 엔지니어,개선 전,30,10,0.4,0.4194,0.6,0.25
P-09,QA 자동화 엔지니어,개선 후,30,10,0.9,0.9074,0.0,0.5625
P-10,클라우드 엔지니어,개선 전,30,10,0.4,0.4194,0.6,0.25
P-10,클라우드 엔지니어,개선 후,30,10,0.9,0.9074,0.0,0.5625
